Nº;CLIENTE;Nº PROJ;ENDEREÇO;ESTADO;NOME EMPREENDIMENTO;ANO APROVAÇÃO;ÁREA APROVADA;PLACAS;ANO LANÇAMENTO;TIPO
1025;Ditolvo;18415;Rua Jacamar, 94, São Paulo;SP;DOT VILA DAS BELEZAS;2021;16855.71;;2021 - sem 1;Residencial
1026;Mitre;19139;Rua Assungui, 105, São Paulo;SP;HAUS MITRE SANTA CRUZ;2021;17.256,07;;2021 - sem 1;Mixed use
1027;Eztec;19354;Avenida Alberto Ramos, 89, São Paulo;SP;DREAM VIEW SKY RESORT VILA PRUDENTE;2021;54.839,70;;2021 - sem 1;Residencial
1028;Solidi;19013;Avenida do Cursino, 3808, São Paulo;SP;CURSINO;2021;7.687,65;;2021 - sem 2;Residencial
1029;Tecnisa;18609;Rua Rita Joana de Souza, 18609 , São Paulo;SP;HIGHLIGHTS STUDIOS;2021;21.683,51;;2021 - sem 1;Residencial
1030;Trisul;18722;Rua Joaquim Nabuco, 251 , São Paulo;SP;VISTA CAMPO BELO;2021;20.578,49;;2021 - sem 1;Residencial
1031;Eztec;19370;Rua Barão de Monte Santo, 000, São Paulo;SP;;2021;38.903,94;;;
1032;Eztec;19730;Rua Barão de Monte Santo, 000, São Paulo;SP;;2021;26.589,77;;;
1033;Cyrela / Magyk;19557;Rua Constantino de Sousa, 77, São Paulo;SP;N.A.U. VILA MARIANA;2021;26.107,42;;2021 - sem 1;Residencial
1034;Cyrela;19048;Rua Constantino de Sousa, 343, São Paulo;SP;BOTHANIC CAMPO BELO;2021;33.070,35;;2021 - sem 1;Residencial
1035;Tegra;19111;Rua Frei Gaspar, 19111, São Paulo;SP;TEG MOOCA;2021;22.836,70;;2021 - sem 1;Residencial
1036;Eztec;19370;Rua Barão de Monte Santo, 000, São Paulo;SP;;2021;26.730,29;;;
1037;Eztec;19370;Rua Barão de Monte Santo, 000, São Paulo;SP;;2021;28.203,03;;;
1038;Eztec;19370;Rua Barão de Monte Santo, 000, São Paulo;SP;;2021;37.830,28;;;
1039;Eztec;19370;Rua Barão de Monte Santo, 000, São Paulo;SP;;2021;30.611,10;;;
1040;Tecnisa;19702;Rua das Flechas, 321, São Paulo;SP;HIGHLIGHTS DR NELSON MORETTI;2021;22.108,99;;2021 - sem 1;Residencial
1041;Vitacon;19338;Avenida Santo Amaro, 5200, São Paulo;SP;ON BROOKLIN;2021;14.424,95;;2021 - sem 1;Residencial
1042;Benx;19366;Avenida Eusébio Matoso, 682, São Paulo;SP;VIVA BENX PINHEIROS;2021;9.908,64;;2021 - sem 1;Residencial
1043;Tecnisa;19703;Rua Arruda Alvim, 251, São Paulo;SP;SMART HOME;2021;17.893,40;;2021 - sem 1;Residencial
1044;One;19238;Rua Arthur de Azevedo, 1815, São Paulo;SP;EDGE PINHEIROS;2021;25.025,68;;2021 - sem 1;Residencial
1045;Living / Magik;19251;Rua Cantagalo, 2167, São Paulo;SP;LIVING VILLAGGIO TATUAPÉ;2021;17.205,73;;2021 - sem 2;Residencial
1046;Living;19586;Rua Cantagalo, 2257, São Paulo;SP;LIVING CANTAGALO;2021;14.906,00;;2021 - sem 2;Residencial
1047;Dialogo;18763;Rua Mateo Forte, 216, São Paulo;SP;HOME RESORT PENHA;2021;38.409,42;;2021 - sem 1;Residencial
1048;Teixeira Duarte;19189;Rua Gil Eanes, 561, São Paulo;SP;INSIGNIA CAMPO BELO;2021;20.066,99;;2021 - sem 1;Residencial
1049;Lavvi;19473;Avenida dos Jamaris, 407, São Paulo;SP;GRAND VITRALI;2021;17.667,48;;2021 - sem 2;Residencial
1050;Living;19165;Rua Doutor Antônio de Arruda Camargo, 225, Campinas;SP;LIVING GRAND WISH NOVA CAMPINAS;2021;19.103,78;;2021 - sem 1;Residencial
1051;Vibra;19545;Rua Jose Batista Pereira, 71, São Paulo;SP;;2021;11.125,82;;;
1052;Cyrela;19450;Rua Cristiano Viana,140, São Paulo;SP;LE JARDIN CYRELA BY YOO;2021;19.323,65;;2021 - sem 2;Residencial
1053;Benx;19030;Rua Vanderlei, 807, São Paulo;SP;RARO PERDIZES;2021;9.605,63;;2021 - sem 2;Residencial
1054;Setin/SDI;19528;Rua Antônio Lapa, 922, Campinas;SP;VESTRA CAMBUÍ;2021;17.263,68;;2021 - sem 2;Residencial
1055;Living;19492;Rua Marques de Olinda, 149, São Paulo;SP;LIVING MARQUES DE OLINDA;2021;23.485,04;;2021 - sem 2;Residencial
1056;Mitre;18819;Rua Madre Emilie de Villeneuve, 386, São Paulo;SP;RAÍZES VILA MASCOTE;2021;28.244,00;;2021 - sem 2;Residencial
1057;Diálogo;18951;Rua Senador Milton Campos, 42, São Paulo;SP;;2021;20.454,45;;;
1058;Mitre;19630;Rua Jupuruchita, 173, São Paulo;SP;RAIZES MOOCA;2021;24.266,81;;2021 - sem 2;Residencial
1059;Fibra;19215;Rua Coronel Luís Barroso, 566, São Paulo;SP;HIGH VIEW;2021;37.634,72;;2021 - sem 2;Residencial
1060;Vibra;19452;Rua José dos Santos Júnior, 370, São Paulo;SP;;2021;7.457,87;;;
1061;Lorenzini;18322;Avenida Alberto Ramos, 142, São Paulo;SP;;2021;9.674,28;;;
1062;Lavvi;17564;Rua Visconde de Parnaíba, 970, São Paulo;SP;HIGH WONDER;2021;43.407,38;;2021 - sem 2;Residencial
;;;;;;;;;;
